County,State,Population,Poverty Rate,Median Age,Median Household Income,Number of Employees,Median Property Value
cumberland-county-me,me,"293,557",10.7%,42.1,"$72,452","167,779","$294,400"
cumberland-county-nj,nj,"154,952",18.8%,36.8,"$50,000","62,714","$160,500"
cumberland-county-nc,nc,"332,330",18.2%,31.5,"$46,716","126,347","$138,700"
cumberland-county-pa,pa,"245,801",7.8%,40.5,"$65,544","123,566","$194,100"
cumberland-county-tn,tn,"58,178",16%,50.5,"$40,994","20,741","$140,800"
cumberland-county-va,va,"9,797",21.8%,44.5,"$43,020","4,810","$146,600"
cuming-county-ne,ne,"9,039",7.96%,44,"$50,734","4,819","$113,200"
currituck-county-nc,nc,"25,247",9.12%,42.9,"$65,758","12,138","$244,500"
curry-county-nm,nm,"50,283",22.5%,30.8,"$41,941","20,509","$131,200"
curry-county-or,or,"22,377",15.5%,55.6,"$42,519","7,745","$221,300"
custer-county-co,co,"4,505",15.7%,58.2,"$41,330","1,389","$248,300"
custer-county-id,id,"4,141",18.9%,53.4,"$37,976","1,722","$173,300"
custer-county-mt,mt,"11,895",9.82%,41,"$53,050","6,417","$157,000"
custer-county-ne,ne,"10,836",11.9%,43.5,"$48,836","5,636","$92,800"
custer-county-ok,ok,"29,169",15.8%,30.7,"$48,520","13,819","$127,600"
custer-county-sd,sd,"8,519",13.2%,53.8,"$56,449","3,961","$202,600"
cuyahoga-county-oh,oh,1.24M,18.3%,40.4,"$49,910","597,311","$139,100"
dade-county-ga,ga,"16,282",17.5%,41.8,"$43,163","7,719","$122,500"
dade-county-mo,mo,"7,581",22.9%,46.7,"$38,880","3,137","$75,700"
dakota-county-mn,mn,"425,423",6.87%,38.2,"$86,302","232,186","$279,300"
dakota-county-ne,ne,"20,529",16.8%,33.8,"$52,401","10,163","$116,400"
dale-county-al,al,"49,393",19.6%,37.1,"$44,711","17,988","$108,000"
dallam-county-tx,tx,"7,207",15.9%,32.1,"$45,580","3,501","$77,000"
dallas-county-ar,ar,"7,585",13.2%,43.7,"$35,794","2,910","$64,500"
dallas-county-al,al,"40,755",31.9%,39.3,"$30,065","14,461","$80,800"
dallas-county-ia,ia,"80,864",5.41%,35.1,"$82,719","44,329","$218,000"
dallas-county-mo,mo,"16,441",15.7%,43.5,"$41,441","5,978","$107,400"
dallas-county-tx,tx,2.64M,17.7%,33.5,"$59,839",1.33M,"$196,300"
dane-county-wi,wi,"542,364",12.4%,35.3,"$71,582","311,345","$275,200"
danville-county-va,va,,,,,,
dare-county-nc,nc,"35,412",8.85%,46,"$55,640","18,411","$285,000"
darke-county-oh,oh,"51,919",11.6%,41.8,"$50,064","24,632","$113,200"
darlington-county-sc,sc,"67,572",22.7%,41.2,"$36,217","26,757","$84,800"
dauphin-county-pa,pa,"277,097",13.2%,40,"$57,814","140,565","$171,000"
davidson-county-nc,nc,"164,118",15.8%,42.1,"$45,806","73,207","$134,800"
davidson-county-tn,tn,"692,587",16.9%,34.5,"$60,856","389,697","$277,100"
davie-county-nc,nc,"41,766",14%,44.6,"$53,493","19,212","$170,000"
daviess-county-in,in,"32,777",13%,34.6,"$48,355","14,200","$115,400"
daviess-county-ky,ky,"99,258",15.8%,39,"$48,371","44,736","$123,200"
daviess-county-mo,mo,"8,300",13.2%,41.3,"$45,707","3,571","$101,100"
davis-county-ia,ia,"8,834",13.7%,37.5,"$52,390","3,949","$109,100"
davis-county-ut,ut,"351,713",6.24%,31.4,"$84,358","165,046","$317,300"
davison-county-sd,sd,"19,753",12.6%,38.2,"$48,665","10,389","$141,000"
dawes-county-ne,ne,"8,972",14.3%,34,"$46,146","4,590","$107,500"
dawson-county-ga,ga,"23,397",11.8%,43.3,"$62,284","10,665","$202,300"
dawson-county-mt,mt,"9,324",12.3%,41.9,"$59,622","4,805","$154,300"
dawson-county-ne,ne,"23,925",13.7%,35.8,"$51,238","12,196","$101,000"
dawson-county-tx,tx,"13,095",18.5%,33.1,"$43,201","4,968","$66,400"
day-county-sd,sd,"5,524",16.5%,48.4,"$43,902","2,776","$86,000"
de-baca-county-nm,nm,"2,016",22.7%,42.6,"$31,439",675,"$67,700"
de-soto-county-la,la,,,,,,
de-witt-county-il,il,"16,176",13.3%,42.8,"$55,411","8,112","$98,000"
dekalb-county-al,al,"71,194",21.5%,39,"$38,842","28,416","$102,900"
dekalb-county-ga,ga,"756,558",17.6%,35.9,"$64,461","395,842","$235,100"
dekalb-county-il,il,"104,473",18.1%,30.7,"$58,343","52,511","$166,800"
dekalb-county-in,in,"42,524",12.5%,39.1,"$51,374","21,054","$113,600"
dekalb-county-mo,mo,"12,564",12.5%,40.5,"$46,517","4,325","$111,600"
dekalb-county-tn,tn,"19,380",18.9%,40.9,"$40,690","8,003","$131,100"
desoto-county-fl,fl,"35,675",29.9%,40.7,"$35,435","12,667","$83,700"
desoto-county-ms,ms,"173,267",9.77%,36.6,"$62,595","85,681","$158,600"
dewitt-county-tx,tx,"20,474",16%,41.2,"$50,960","7,965","$100,000"
deaf-smith-county-tx,tx,"18,947",18%,31.8,"$51,543","8,619","$88,000"
dearborn-county-in,in,"49,564",10.1%,42.7,"$62,905","24,597","$160,800"
decatur-county-ga,ga,"27,023",24.1%,37.9,"$36,934","9,855","$109,800"
decatur-county-in,in,"26,480",11.4%,38.8,"$52,270","12,996","$121,800"
decatur-county-ia,ia,"8,105",19.1%,36.5,"$41,042","3,780","$76,300"
decatur-county-tn,tn,"11,681",22.6%,45.7,"$36,427","4,497","$91,800"
deer-lodge-county-mt,mt,"9,131",18.8%,47.4,"$41,235","3,881","$116,700"
defiance-county-oh,oh,"38,311",11%,40,"$55,295","18,654","$112,700"
del-norte-county-ca,ca,"27,442",23.2%,38.7,"$41,287","8,742","$185,900"
delaware-county-in,in,"115,938",21.2%,35.4,"$41,208","53,152","$88,600"
delaware-county-ia,ia,"17,326",9.22%,43.4,"$60,534","9,345","$126,000"
delaware-county-ny,ny,"45,950",16.5%,47,"$47,921","19,919","$138,000"
delaware-county-oh,oh,"193,024",5.06%,38.4,"$100,229","99,215","$279,800"
delaware-county-ok,ok,"41,878",19%,46.5,"$38,234","15,709","$110,000"
delaware-county-pa,pa,"564,751",10.4%,39,"$72,045","278,643","$254,000"
delta-county-co,co,"30,217",16.5%,47.8,"$42,487","11,209","$206,200"
delta-county-mi,mi,"36,395",14.4%,46.9,"$44,639","15,821","$105,900"
delta-county-tx,tx,"5,172",22.9%,43.7,"$42,642","1,980","$73,100"
dent-county-mo,mo,"15,566",20.8%,44.1,"$38,829","5,930","$107,300"
denton-county-tx,tx,"859,064",8.4%,35.8,"$88,117","469,327","$305,200"
denver-county-co,co,"716,492",15.1%,34.6,"$68,377","418,381","$435,100"
des-moines-county-ia,ia,"39,876",15.3%,42.5,"$47,524","19,302","$101,400"
deschutes-county-or,or,"175,321",12.1%,42.1,"$59,152","83,721","$298,200"
desha-county-ar,ar,"12,094",32.6%,40.2,"$27,036","4,440","$56,700"
deuel-county-ne,ne,"1,901",11.1%,46.1,"$53,438","1,002","$76,300"
deuel-county-sd,sd,"4,282",10%,44.7,"$57,969","2,307","$112,700"
dewey-county-ok,ok,"4,904",18.6%,40.6,"$52,930","2,086","$86,700"
dewey-county-sd,sd,"5,709",31.4%,28,"$41,190","1,950","$65,700"
dickens-county-tx,tx,"2,224",16.6%,43.2,"$43,088",747,"$54,200"
dickenson-county-va,va,"15,181",23%,43.9,"$29,916","4,577","$77,500"
dickey-county-nd,nd,"5,041",6.26%,43.6,"$58,357","2,658","$110,400"
dickinson-county-ia,ia,"17,000",8.11%,48.7,"$59,889","9,177","$175,900"
dickinson-county-ks,ks,"19,162",11.6%,41.2,"$49,663","8,736","$110,700"
dickinson-county-mi,mi,"25,694",15.2%,46.4,"$45,681","11,154","$92,100"
dickson-county-tn,tn,"51,341",14.5%,39.5,"$47,398","22,454","$146,300"
dillon-county-sc,sc,"31,073",30.6%,37.4,"$30,866","11,332","$67,200"
dimmit-county-tx,tx,"10,822",30.2%,33.5,"$31,384","3,805","$65,200"
dinwiddie-county-va,va,"28,033",14.8%,42.9,"$54,640","13,375","$160,100"
district-of-columbia-county-dc,dc,,,,,,
divide-county-nd,nd,"2,378",13%,50.9,"$54,223","1,201","$150,800"
dodge-county-ga,ga,"21,063",22.2%,41.2,"$35,290","7,684","$73,400"
dodge-county-mn,mn,"20,485",5.7%,38,"$71,078","11,109","$167,900"
dodge-county-ne,ne,"36,576",13.2%,39.1,"$51,748","18,495","$119,600"
dodge-county-wi,wi,"87,833",8.78%,42.4,"$56,038","44,063","$156,200"
dona-ana-county-nm,nm,,,,,,
doniphan-county-ks,ks,"7,790",13.7%,39.4,"$50,300","3,737","$95,300"
donley-county-tx,tx,"3,433",14.9%,41.9,"$44,429","1,421","$65,100"
dooly-county-ga,ga,"14,053",23.2%,43.5,"$33,389","4,929","$83,200"
door-county-wi,wi,"27,443",8.42%,52.3,"$56,494","13,419","$204,700"
dorchester-county-md,md,"32,386",15.4%,44.4,"$50,532","15,240","$179,300"
dorchester-county-sc,sc,"151,716",11.8%,36.2,"$58,685","70,522","$177,500"
dougherty-county-ga,ga,"91,522",30.5%,35,"$34,541","34,494","$102,100"
douglas-county-co,co,"342,776",3.64%,39.1,"$119,615","188,254","$508,700"
douglas-county-ga,ga,"140,152",14.2%,36.3,"$59,333","66,421","$140,100"
dixon-county-ne,ne,"5,765",10.3%,42.2,"$57,036","2,955","$87,600"
dixie-county-fl,fl,"16,323",23.7%,47.6,"$35,910","4,798","$71,600"
douglas-county-il,il,"19,830",12.1%,37.9,"$52,261","9,138","$102,700"
douglas-county-ks,ks,"117,806",18.7%,29.2,"$54,370","64,647","$188,100"
douglas-county-mn,mn,"36,891",8.43%,44.3,"$58,667","19,119","$197,200"
douglas-county-mo,mo,"13,391",20.6%,47.3,"$33,003","4,997","$101,700"
douglas-county-ne,ne,"566,880",13.5%,34.8,"$64,390","296,408","$176,400"
douglas-county-nv,nv,"47,632",9.82%,50.8,"$61,176","20,744","$311,400"
douglas-county-or,or,"107,576",17%,47,"$44,023","40,971","$174,200"
douglas-county-sd,sd,"2,940",8.19%,47.5,"$52,543","1,477","$80,800"
douglas-county-wa,wa,"40,585",13.7%,37.3,"$55,805","18,297","$229,100"
douglas-county-wi,wi,"43,503",14.2%,41.3,"$50,730","21,594","$140,400"
drew-county-ar,ar,"18,620",24.4%,36.5,"$36,092","7,629","$93,200"
dupage-county-il,il,"928,589",6.77%,39.5,"$93,750","498,676","$317,800"
dubois-county-in,in,"42,379",10%,40.2,"$57,307","21,928","$146,000"
dubuque-county-ia,ia,"96,571",11.9%,38.6,"$59,150","50,779","$157,200"
dundy-county-ne,ne,"2,017",10.5%,43.6,"$44,653",927,"$73,900"
dunklin-county-mo,mo,"30,905",26.6%,39.4,"$32,348","11,669","$69,500"
dunn-county-nd,nd,"4,349",10.6%,41.2,"$68,594","2,080","$168,800"
dunn-county-wi,wi,"44,260",12.8%,34.2,"$54,605","22,972","$156,700"
duplin-county-nc,nc,"59,350",26.3%,40,"$36,679","24,678","$88,800"
durham-county-nc,nc,"316,739",16.4%,35.6,"$58,073","170,657","$233,300"
dutchess-county-ny,ny,"293,718",9.09%,42.5,"$80,227","143,973","$291,600"
duval-county-fl,fl,"950,181",16%,36.3,"$55,832","462,060","$191,500"
duval-county-tx,tx,"11,434",25.2%,36.8,"$35,443","3,950","$48,500"
dyer-county-tn,tn,"37,751",18.1%,40.5,"$44,386","16,155","$98,100"
eagle-county-co,co,"53,726",7.74%,36.5,"$83,803","33,466","$471,100"
early-county-ga,ga,"10,405",27.5%,40.5,"$29,493","3,682","$82,700"
east-baton-rouge-county-la,la,,,,,,
east-carroll-county-la,la,,,,,,
east-feliciana-county-la,la,,,,,,
eastland-county-tx,tx,"18,278",17.4%,43,"$32,135","6,910","$59,800"
eaton-county-mi,mi,"108,586",10.9%,40.9,"$59,244","52,647","$142,300"
eau-claire-county-wi,wi,"102,388",14.5%,34.3,"$52,178","55,778","$156,200"
echols-county-ga,ga,"4,011",28.2%,38.1,"$34,315","1,656","$57,000"
ector-county-tx,tx,"155,744",12.3%,30.3,"$59,528","72,576","$120,800"
eddy-county-nm,nm,"56,793",14.6%,35.9,"$60,703","26,191","$143,100"
eddy-county-nd,nd,"2,321",13.2%,45.8,"$55,294","1,180","$74,200"
edgar-county-il,il,"17,603",15.4%,44.5,"$47,873","8,052","$80,000"
edgecombe-county-nc,nc,"54,032",24.6%,40.3,"$32,929","21,693","$84,000"
edgefield-county-sc,sc,"26,620",15.5%,42.6,"$47,500","10,410","$123,000"
edmonson-county-ky,ky,"12,063",20%,43.1,"$41,114","4,640","$87,100"
edmunds-county-sd,sd,"3,971",5.94%,44.4,"$65,380","2,006","$114,000"
edwards-county-il,il,"6,570",11.5%,43.6,"$49,632","3,136","$73,500"
edwards-county-ks,ks,"2,946",10.2%,44.8,"$50,229","1,444","$61,200"
edwards-county-tx,tx,"2,111",7%,49.1,"$48,462",888,"$72,800"
effingham-county-ga,ga,"57,087",9.56%,36.2,"$64,279","26,904","$155,500"
effingham-county-il,il,"34,164",11.3%,39.1,"$54,655","17,229","$137,300"
el-dorado-county-ca,ca,"185,015",9.82%,45.5,"$74,885","80,373","$405,900"
el-paso-county-co,co,"713,856",11.1%,34.3,"$68,119","338,552","$289,500"
el-paso-county-tx,tx,"840,758",21.7%,32.5,"$43,958","360,160","$123,900"
elbert-county-co,co,"24,553",4.76%,45.6,"$92,849","13,086","$380,000"
elbert-county-ga,ga,"19,288",22.4%,42.3,"$35,207","7,327","$81,800"
elk-county-ks,ks,"2,581",13.5%,50.8,"$39,405","1,022","$48,300"
elk-county-pa,pa,"30,781",9.38%,46.7,"$49,876","15,169","$97,100"
elkhart-county-in,in,"202,924",13.8%,35.4,"$52,449","94,516","$130,800"
elko-county-nv,nv,"52,377",11.5%,34.1,"$76,178","26,482","$198,100"
elliott-county-ky,ky,"7,533",34.4%,42,"$29,043","1,790","$72,700"
ellis-county-ks,ks,"28,877",16.7%,32,"$49,562","15,862","$159,400"
ellis-county-ok,ok,"4,102",17.2%,44.1,"$50,594","1,794","$83,700"
ellis-county-tx,tx,"164,092",10.5%,36,"$67,371","78,597","$158,200"
ellsworth-county-ks,ks,"6,331",11.4%,43.7,"$48,550","2,730","$88,500"
elmore-county-al,al,"80,989",13.5%,38.5,"$54,981","33,054","$155,300"
elmore-county-id,id,"26,232",14.9%,31.4,"$45,154","9,732","$145,200"
emanuel-county-ga,ga,"22,502",29.2%,37.2,"$33,089","8,291","$78,500"
emmet-county-ia,ia,"9,661",13.8%,42.5,"$47,419","4,894","$85,700"
emmet-county-mi,mi,"32,978",10.7%,45,"$51,475","16,237","$171,100"
emmons-county-nd,nd,"3,389",11.9%,52.1,"$46,581","1,528","$92,200"
emporia-county-va,va,,,,,,
erath-county-tx,tx,"41,016",22.6%,30,"$47,013","19,076","$128,300"
erie-county-ny,ny,"919,719",14.9%,40.3,"$56,369","450,994","$160,200"
erie-county-oh,oh,"75,369",13%,44.6,"$51,033","35,825","$132,400"
erie-county-pa,pa,"272,061",16.8%,40,"$48,007","129,088","$143,700"
escambia-county-al,al,"37,621",23.8%,39.6,"$35,026","12,134","$94,500"
escambia-county-fl,fl,"315,534",14.6%,38.1,"$51,050","137,165","$150,700"
esmeralda-county-nv,nv,"1,102",6.84%,48,"$39,405",449,"$73,500"
essex-county-ma,ma,"790,638",10.9%,41.1,"$76,604","411,557","$444,700"
essex-county-nj,nj,"799,767",16.7%,37.8,"$63,368","390,081","$393,000"
essex-county-ny,ny,"38,233",8.9%,46.7,"$55,294","17,544","$146,900"
essex-county-vt,vt,"6,203",15.5%,50,"$38,767","2,784","$128,900"
essex-county-va,va,"11,083",12.3%,44.8,"$50,629","5,272","$177,200"
estill-county-ky,ky,"14,382",30.4%,42.6,"$30,692","5,015","$71,000"
etowah-county-al,al,"103,132",17.9%,40.9,"$42,064","41,412","$105,100"
eureka-county-nv,nv,"1,728",10%,47.3,"$67,159",904,"$83,100"
evangeline-county-la,la,,,,,,
evans-county-ga,ga,"10,757",26%,37.3,"$38,736","4,308","$83,600"
fairbanks-north-star-county-ak,ak,,,,,,
fairfax-county-va,va,1.15M,6.14%,38,"$122,227","619,552","$569,000"
fairfax-city-county-va,va,,,,,,
fairfield-county-ct,ct,"943,823",8.76%,40.8,"$91,079","480,867","$435,000"
fairfield-county-oh,oh,"151,526",9.95%,39.2,"$63,424","71,254","$168,500"
fairfield-county-sc,sc,"22,868",21.3%,45.4,"$35,551","8,726","$101,100"
fall-river-county-sd,sd,"6,783",15%,50.9,"$48,862","3,208","$116,700"
falls-county-tx,tx,"17,289",25.2%,39.2,"$38,834","5,774","$63,000"
falls-church-county-va,va,,,,,,
fannin-county-ga,ga,"24,480",15.8%,50.8,"$43,344","9,299","$171,500"
fannin-county-tx,tx,"33,787",14.8%,41.9,"$47,875","13,407","$98,200"
faribault-county-mn,mn,"13,966",11.5%,46.8,"$50,847","7,091","$86,500"
faulk-county-sd,sd,"2,327",10.9%,48.1,"$46,750","1,120","$85,700"
faulkner-county-ar,ar,"121,282",16.3%,32.3,"$50,316","57,306","$153,500"
fauquier-county-va,va,"68,406",6.16%,41.6,"$94,775","34,893","$370,000"
fayette-county-al,al,"16,657",18.1%,43.6,"$36,541","6,307","$83,200"
fayette-county-ga,ga,"110,306",6.31%,43.5,"$84,861","51,750","$255,300"
fayette-county-il,il,"21,980",17.8%,41.4,"$44,541","8,807","$84,000"
fayette-county-in,in,"23,426",18.2%,42.4,"$41,476","9,696","$81,400"
fayette-county-ia,ia,"20,139",12.8%,43.7,"$48,412","10,036","$90,800"
fayette-county-ky,ky,"323,780",18.6%,34.9,"$54,896","172,255","$193,300"
fayette-county-oh,oh,"28,659",17.7%,41.1,"$44,289","12,510","$108,900"
fayette-county-pa,pa,"133,160",18.8%,44.6,"$41,632","54,222","$94,600"
fayette-county-tn,tn,"39,336",14.4%,44.8,"$57,919","17,508","$185,000"
fayette-county-tx,tx,"24,963",9.06%,47.2,"$56,941","11,626","$158,700"
fayette-county-wv,wv,"44,602",20%,43.3,"$39,297","16,147","$86,400"
fentress-county-tn,tn,"17,940",23%,44.8,"$32,616","6,577","$103,700"
fergus-county-mt,mt,"11,327",14.7%,45.7,"$47,110","5,593","$133,700"
ferry-county-wa,wa,"7,568",21.2%,49,"$41,081","2,465","$165,900"
fillmore-county-mn,mn,"20,825",11.3%,42.5,"$57,093","10,671","$148,300"
fillmore-county-ne,ne,"5,603",9.89%,47.5,"$56,750","2,893","$76,100"
finney-county-ks,ks,"37,097",16.2%,30.6,"$51,703","18,653","$126,200"
fisher-county-tx,tx,"3,875",17.4%,44,"$45,294","1,728","$60,500"
flagler-county-fl,fl,"105,015",13.3%,50.3,"$51,049","39,278","$188,400"
flathead-county-mt,mt,"96,147",13.6%,42.3,"$51,410","46,250","$246,500"
fleming-county-ky,ky,"14,515",19.5%,40.9,"$41,095","5,824","$89,900"
florence-county-sc,sc,"138,537",19.6%,38.8,"$43,310","59,365","$128,400"
florence-county-wi,wi,"4,354",8.44%,51.9,"$47,827","1,949","$132,600"
floyd-county-ga,ga,"96,471",18.1%,38.3,"$46,096","41,473","$126,600"
floyd-county-in,in,"76,481",10.8%,39.9,"$59,451","38,137","$159,700"
floyd-county-ia,ia,"15,904",15.6%,44.6,"$48,607","8,223","$102,400"
floyd-county-ky,ky,"37,447",30.7%,41.4,"$31,196","11,130","$72,900"
floyd-county-tx,tx,"5,953",18.2%,37.1,"$48,767","2,444","$60,500"
floyd-county-va,va,"15,594",12%,46,"$48,396","7,210","$153,800"
fluvanna-county-va,va,"26,109",6.1%,42.6,"$67,964","12,127","$228,100"
fond-du-lac-county-wi,wi,"102,082",8.49%,41.2,"$57,798","53,195","$149,400"
ford-county-il,il,"13,470",15.7%,43.2,"$50,851","6,177","$100,600"
ford-county-ks,ks,"34,658",16.2%,31.1,"$49,890","16,655","$108,400"
forest-county-pa,pa,"7,388",14.1%,39.2,"$37,106",751,"$91,000"
forest-county-wi,wi,"9,035",17.5%,46.2,"$43,356","3,658","$131,400"
forrest-county-ms,ms,"75,835",26.3%,32,"$39,555","32,089","$114,700"
forsyth-county-ga,ga,"211,300",6.48%,38.2,"$96,445","103,649","$301,100"
forsyth-county-nc,nc,"379,099",18.7%,38.5,"$49,166","173,934","$163,200"
fort-bend-county-tx,tx,"787,858",8.07%,36.6,"$91,931","383,153","$276,900"
foster-county-nd,nd,"3,318",7.07%,46.4,"$59,500","1,769","$125,600"
fountain-county-in,in,"16,620",12.6%,43,"$46,669","7,335","$93,500"
franklin-county-al,al,"31,507",23%,37.7,"$39,501","12,534","$87,600"
franklin-county-ar,ar,"17,803",21.9%,41.4,"$39,472","6,598","$90,600"
franklin-county-fl,fl,"11,675",20.1%,44.3,"$41,267","4,305","$135,300"
franklin-county-ga,ga,"22,328",25.4%,41.1,"$39,246","8,353","$101,600"
franklin-county-id,id,"13,120",12.2%,32.6,"$51,583","5,679","$168,200"
franklin-county-il,il,"39,302",19.9%,42.3,"$39,454","15,466","$69,900"
franklin-county-in,in,"22,835",9.88%,42.3,"$55,588","11,012","$152,200"
franklin-county-ia,ia,"10,326",15.6%,42.4,"$48,172","4,801","$87,100"
franklin-county-ks,ks,"25,599",12.5%,40,"$53,167","12,784","$121,700"
franklin-county-ky,ky,"49,969",13.1%,40.7,"$53,539","23,685","$139,300"
franklin-county-la,la,,,,,,
franklin-county-me,me,"30,177",12.4%,45.4,"$45,541","14,426","$136,300"
franklin-county-ma,ma,"70,926",10.9%,45.9,"$57,307","36,953","$226,600"
franklin-county-ms,ms,"7,772",17.9%,42.5,"$42,388","2,883","$74,700"
franklin-county-mo,mo,"102,413",10.6%,40.7,"$53,849","49,855","$156,800"
franklin-county-ne,ne,"3,019",13.3%,50.7,"$49,453","1,496","$62,000"
franklin-county-ny,ny,"51,054",19.4%,40.5,"$50,733","19,960","$102,200"
franklin-county-nc,nc,"63,866",16.4%,40.9,"$48,344","28,158","$140,300"
franklin-county-oh,oh,1.31M,16.7%,34.1,"$60,373","686,173","$186,500"
franklin-county-pa,pa,"153,003",10.4%,41.3,"$58,267","72,456","$175,800"
franklin-county-tn,tn,"41,397",15%,41.5,"$46,882","17,632","$120,600"
franklin-county-tx,tx,"10,639",15%,42.9,"$43,967","4,397","$130,300"
franklin-county-vt,vt,"48,816",8.03%,39.9,"$62,214","25,865","$209,100"
franklin-county-va,va,"56,277",14.8%,46,"$51,208","25,460","$176,900"
franklin-county-wa,wa,"89,124",15.9%,29.9,"$60,275","38,844","$177,400"
franklin-city-county-va,va,,,,,,
frederick-county-md,md,"246,105",7.19%,39.3,"$88,502","130,387","$315,400"
frederick-county-va,va,"83,784",5.57%,40.5,"$71,037","42,721","$239,100"
fredericksburg-county-va,va,,,,,,
freeborn-county-mn,mn,"30,619",11.8%,44.3,"$51,174","15,278","$105,100"
freestone-county-tx,tx,"19,646",17.3%,40.6,"$45,890","7,422","$86,100"
fremont-county-co,co,"46,601",15.8%,44.8,"$44,712","14,406","$160,000"
fremont-county-id,id,"12,889",11.9%,36.7,"$51,806","5,182","$157,700"
fremont-county-ia,ia,"6,985",11%,46,"$54,430","3,363","$100,200"
fremont-county-wy,wy,"40,354",13.7%,38.3,"$55,013","18,674","$189,700"
fresno-county-ca,ca,"994,400",25.4%,32.5,"$52,629","414,515","$274,400"
frio-county-tx,tx,"19,110",20.3%,31.3,"$37,382","6,859","$75,900"
frontier-county-ne,ne,"2,624",10.9%,45.5,"$52,090","1,253","$98,200"
fulton-county-ar,ar,"12,092",23%,48.1,"$36,051","4,132","$91,300"
fulton-county-ga,ga,1.05M,16%,35.6,"$70,930","544,695","$333,200"
fulton-county-il,il,"35,733",15.5%,42.5,"$48,599","15,027","$84,800"
fulton-county-ny,ny,"53,955",16%,43.4,"$48,033","24,239","$107,600"
fulton-county-oh,oh,"42,296",10.6%,40.2,"$57,774","20,729","$134,700"
fulton-county-pa,pa,"14,631",11.5%,44.6,"$50,007","6,609","$156,000"
furnas-county-ne,ne,"4,814",13.5%,46.1,"$43,400","2,394","$65,300"
gadsden-county-fl,fl,"46,113",24.4%,40.7,"$39,830","16,338","$101,300"
gage-county-ne,ne,"21,632",9.08%,44.2,"$52,223","11,118","$108,800"
gaines-county-tx,tx,"19,889",11%,28.1,"$58,167","8,134","$111,000"
galax-county-va,va,,,,,,
gallatin-county-il,il,"5,226",16.6%,44.8,"$42,450","2,133","$71,500"
gallatin-county-ky,ky,"8,652",13.4%,39,"$50,250","3,728","$109,900"
garden-county-ne,ne,"1,913",11.7%,51.7,"$48,125",921,"$81,800"
fulton-county-ky,ky,"6,259",25.3%,43.1,"$28,274","2,287","$63,600"
garfield-county-wa,wa,"2,226",11.7%,46.7,"$51,399",934,"$143,800"
gallia-county-oh,oh,"30,203",20.9%,40.6,"$42,002","11,930","$103,200"
gallatin-county-mt,mt,"100,733",13%,33.4,"$59,397","56,751","$303,700"
garland-county-ar,ar,"97,994",19.1%,44.7,"$41,672","39,800","$131,500"
garrard-county-ky,ky,"17,226",18.2%,42.4,"$47,906","7,339","$131,000"
garrett-county-md,md,"29,516",11.4%,45.4,"$48,174","13,937","$167,100"
galveston-county-tx,tx,"337,890",13.9%,37.8,"$73,840","160,521","$202,300"
garvin-county-ok,ok,"27,751",17.1%,39.2,"$42,567","10,697","$93,400"
garza-county-tx,tx,"6,739",13.5%,40.1,"$53,832","2,445","$77,500"
gasconade-county-mo,mo,"14,769",12%,45.9,"$50,687","6,793","$123,000"
gaston-county-nc,nc,"214,049",16.5%,40.1,"$46,626","96,263","$130,700"
fulton-county-in,in,"20,296",13.3%,41.9,"$47,108","9,575","$93,600"
garfield-county-co,co,"57,945",9.56%,36.2,"$66,503","30,411","$323,800"
garfield-county-ne,ne,"1,958",7.19%,51.4,"$46,509","1,006","$96,100"
garfield-county-ok,ok,"62,421",13.6%,35.7,"$50,724","27,796","$104,000"
gates-county-nc,nc,"11,601",12.4%,45,"$52,481","5,012","$142,500"
geary-county-ks,ks,"35,796",14.9%,26.4,"$46,096","11,575","$141,900"
geauga-county-oh,oh,"93,895",6.53%,44.4,"$77,104","47,123","$228,000"
gem-county-id,id,"16,850",20.7%,45.2,"$42,888","6,452","$148,800"
genesee-county-mi,mi,"406,892",20%,40.9,"$48,127","178,222","$118,700"
genesee-county-ny,ny,"58,537",12.8%,43.2,"$54,033","29,386","$111,900"
geneva-county-al,al,"26,572",22.5%,42.7,"$39,293","10,306","$87,800"
gentry-county-mo,mo,"6,688",18.1%,41.3,"$43,777","3,037","$85,600"
george-county-ms,ms,"23,545",14.7%,36.5,"$47,640","8,011","$98,200"
georgetown-county-sc,sc,"61,065",18.7%,48.5,"$46,967","24,152","$178,600"
gibson-county-in,in,"33,596",10.7%,40.5,"$51,149","16,210","$105,700"
gibson-county-tn,tn,"49,222",17.1%,40.3,"$41,315","20,523","$94,800"
gila-county-az,az,"53,145",21.9%,49.3,"$41,179","18,216","$153,600"
gilchrist-county-fl,fl,"17,191",19.8%,42.8,"$42,934","6,444","$96,700"
giles-county-tn,tn,"29,024",15.9%,43.1,"$43,925","12,368","$120,400"
giles-county-va,va,"16,867",11.3%,44.4,"$49,734","7,545","$114,500"
gillespie-county-tx,tx,"25,939",12.4%,50.2,"$56,267","11,800","$269,900"
gilliam-county-or,or,"1,910",9.86%,47,"$39,831",751,"$110,900"
gilmer-county-ga,ga,"29,614",18.8%,46,"$46,211","12,120","$162,400"
gilmer-county-wv,wv,"8,305",25%,38,"$37,175","2,526","$91,600"
gilpin-county-co,co,"5,793",5.59%,45.2,"$72,544","3,399","$301,700"
glacier-county-mt,mt,"13,677",33.1%,31,"$29,201","4,539","$105,000"
glades-county-fl,fl,,,,,,
